knot,minimum_computed_bridge_index
3_0001,2
4_0001,2
5_0001,2
5_0002,2
6_0001,2
6_0002,2
6_0003,2
7_0001,2
7_0002,2
7_0003,2
7_0004,2
7_0005,2
7_0006,2
7_0007,2
8_0001,2
8_0002,2
8_0003,2
8_0004,2
8_0005,3
8_0006,2
8_0007,2
8_0008,2
8_0009,2
8_0010,3
8_0011,2
8_0012,2
8_0013,2
8_0014,2
8_0015,3
8_0016,3
8_0017,3
8_0018,3
8_0019,3
8_0020,3
8_0021,3
9_0001,2
9_0002,2
9_0003,2
9_0004,2
9_0005,2
9_0006,2
9_0007,2
9_0008,2
9_0009,2
9_0010,2
9_0011,2
9_0012,2
9_0013,2
9_0014,2
9_0015,2
9_0016,3
9_0017,2
9_0018,2
9_0019,2
9_0020,2
9_0021,2
9_0022,3
9_0023,2
9_0024,3
9_0025,3
9_0026,2
9_0027,2
9_0028,3
9_0029,3
9_0030,3
9_0031,2
9_0032,3
9_0033,3
9_0034,3
9_0035,3
9_0036,3
9_0037,3
9_0038,3
9_0039,3
9_0040,3
9_0041,3
9_0042,3
9_0043,3
9_0044,3
9_0045,3
9_0046,3
9_0047,3
9_0048,3
9_0049,3
