knot,minimum_computed_bridge_index,,,,knot_standard_name,knotinfo_bridge_index,difference_of_bridge_indices
10_001,2,10_,001,0001,10_0001,2,0
10_002,2,10_,002,0002,10_0002,2,0
10_003,2,10_,003,0003,10_0003,2,0
10_4,2,10_,4,0004,10_0004,2,0
10_5,2,10_,5,0005,10_0005,2,0
10_6,2,10_,6,0006,10_0006,2,0
10_7,2,10_,7,0007,10_0007,2,0
10_8,2,10_,8,0008,10_0008,2,0
10_9,2,10_,9,0009,10_0009,2,0
10_010,2,10_,010,0010,10_0010,2,0
10_011,2,10_,011,0011,10_0011,2,0
10_012,2,10_,012,0012,10_0012,2,0
10_013,2,10_,013,0013,10_0013,2,0
10_014,2,10_,014,0014,10_0014,2,0
10_015,2,10_,015,0015,10_0015,2,0
10_016,2,10_,016,0016,10_0016,2,0
10_017,2,10_,017,0017,10_0017,2,0
10_018,2,10_,018,0018,10_0018,2,0
10_019,2,10_,019,0019,10_0019,2,0
10_020,2,10_,020,0020,10_0020,2,0
10_021,2,10_,021,0021,10_0021,2,0
10_022,2,10_,022,0022,10_0022,2,0
10_023,2,10_,023,0023,10_0023,2,0
10_024,2,10_,024,0024,10_0024,2,0
10_025,2,10_,025,0025,10_0025,2,0
10_026,2,10_,026,0026,10_0026,2,0
10_027,2,10_,027,0027,10_0027,2,0
10_028,2,10_,028,0028,10_0028,2,0
10_029,2,10_,029,0029,10_0029,2,0
10_030,2,10_,030,0030,10_0030,2,0
10_031,2,10_,031,0031,10_0031,2,0
10_032,2,10_,032,0032,10_0032,2,0
10_33,2,10_,33,0033,10_0033,2,0
10_34,2,10_,34,0034,10_0034,2,0
10_35,2,10_,35,0035,10_0035,2,0
10_36,2,10_,36,0036,10_0036,2,0
10_37,2,10_,37,0037,10_0037,2,0
10_38,2,10_,38,0038,10_0038,2,0
10_39,2,10_,39,0039,10_0039,2,0
10_40,2,10_,40,0040,10_0040,2,0
10_41,2,10_,41,0041,10_0041,2,0
10_42,2,10_,42,0042,10_0042,2,0
10_43,2,10_,43,0043,10_0043,2,0
10_44,2,10_,44,0044,10_0044,2,0
10_45,2,10_,45,0045,10_0045,2,0
10_46,3,10_,46,0046,10_0046,3,0
10_47,3,10_,47,0047,10_0047,3,0
10_48,3,10_,48,0048,10_0048,3,0
10_49,3,10_,49,0049,10_0049,3,0
10_50,3,10_,50,0050,10_0050,3,0
10_51,3,10_,51,0051,10_0051,3,0
10_52,3,10_,52,0052,10_0052,3,0
10_53,3,10_,53,0053,10_0053,3,0
10_54,3,10_,54,0054,10_0054,3,0
10_55,3,10_,55,0055,10_0055,3,0
10_56,3,10_,56,0056,10_0056,3,0
10_57,3,10_,57,0057,10_0057,3,0
10_58,3,10_,58,0058,10_0058,3,0
10_59,3,10_,59,0059,10_0059,3,0
10_60,3,10_,60,0060,10_0060,3,0
10_61,3,10_,61,0061,10_0061,3,0
10_62,3,10_,62,0062,10_0062,3,0
10_63,3,10_,63,0063,10_0063,3,0
10_64,3,10_,64,0064,10_0064,3,0
10_65,3,10_,65,0065,10_0065,3,0
10_66,3,10_,66,0066,10_0066,3,0
10_67,3,10_,67,0067,10_0067,3,0
10_68,3,10_,68,0068,10_0068,3,0
10_69,3,10_,69,0069,10_0069,3,0
10_70,3,10_,70,0070,10_0070,3,0
10_71,3,10_,71,0071,10_0071,3,0
10_72,3,10_,72,0072,10_0072,3,0
10_73,3,10_,73,0073,10_0073,3,0
10_74,3,10_,74,0074,10_0074,3,0
10_75,3,10_,75,0075,10_0075,3,0
10_76,3,10_,76,0076,10_0076,3,0
10_77,3,10_,77,0077,10_0077,3,0
10_78,3,10_,78,0078,10_0078,3,0
10_79,3,10_,79,0079,10_0079,3,0
10_80,3,10_,80,0080,10_0080,3,0
10_81,3,10_,81,0081,10_0081,3,0
10_82,3,10_,82,0082,10_0082,3,0
10_83,3,10_,83,0083,10_0083,3,0
10_84,3,10_,84,0084,10_0084,3,0
