name,computed_bridge_index
12a_1283_0,3
12a_1283_1,3
12a_1283_2,3
12a_1283_3,3
12a_1283_4,3
12a_1283_5,3
12a_1283_6,3
12a_1283_7,3
12a_1283_8,3
12a_1283_9,3
12a_1283_10,3
12a_1283_11,3
12a_1283_12,3
12a_1283_13,3
12a_1283_14,3
12a_1283_15,3
12a_1283_16,3
12a_1283_17,3
12a_1283_18,3
12a_1283_19,3
12a_1283_20,3
12a_1283_21,3
12a_1283_22,3
12a_1283_23,3
12a_1283_24,3
12a_1283_25,3
12a_1283_26,3
12a_1283_27,3
12a_1283_28,3
12a_1283_29,3
12a_1283_30,3
12a_1283_31,3
12a_1283_32,3
12a_1283_33,3
12a_1283_34,3
12a_1283_35,3
12a_1283_36,3
12a_1283_37,3
12a_1283_38,3
12a_1283_39,3
12a_1283_40,3
12a_1283_41,3
12a_1283_42,3
12a_1283_43,3
12a_1283_44,3
12a_1283_45,3
12a_1283_46,3
12a_1283_47,3
12a_1283_48,3
12a_1283_49,3
12a_1283_50,3
12a_1283_51,3
12a_1283_52,3
12a_1283_53,3
12a_1283_54,3
12a_1283_55,3
12a_1283_56,3
12a_1283_57,3
12a_1283_58,3
12a_1283_59,3
12a_1283_60,3
12a_1283_61,3
12a_1283_62,3
12a_1283_63,3
12a_1283_64,3
12a_1283_65,3
12a_1283_66,3
12a_1283_67,3
12a_1283_68,3
12a_1283_69,3
12a_1283_70,3
12a_1283_71,3
12a_1283_72,3
12a_1283_73,3
12a_1283_74,3
12a_1283_75,3
12a_1283_76,3
12a_1283_77,3
12a_1283_78,3
12a_1283_79,3
12a_1283_80,3
12a_1283_81,3
12a_1283_82,3
12a_1283_83,3
12a_1283_84,3
12a_1283_85,3
12a_1283_86,3
12a_1283_87,3
12a_1283_88,3
12a_1283_89,3
12a_1283_90,3
12a_1283_91,3
12a_1283_92,3
12a_1283_93,3
12a_1283_94,3
12a_1283_95,3
12a_1283_96,3
12a_1283_97,3
12a_1283_98,3
12a_1283_99,3
12a_1283_100,3
12a_1283_101,3
12a_1283_102,3
12a_1283_103,3
12a_1283_104,3
12a_1283_105,3
12a_1283_106,3
12a_1283_107,3
12a_1283_108,3
12a_1283_109,3
12a_1283_110,3
12a_1283_111,3
12a_1283_112,3
12a_1283_113,3
12a_1283_114,3
12a_1283_115,3
12a_1283_116,3
12a_1283_117,3
12a_1283_118,3
12a_1283_119,3
12a_1283_120,3
12a_1283_121,3
12a_1283_122,3
12a_1283_123,3
12a_1283_124,3
12a_1283_125,3
12a_1283_126,3
12a_1283_127,3
12a_1283_128,3
12a_1283_129,3
12a_1283_130,3
12a_1283_131,3
