name,computed_bridge_index
12n_0807_0,3
12n_0807_1,3
12n_0807_2,4
12n_0807_3,4
12n_0807_4,3
12n_0807_5,4
12n_0807_6,4
12n_0807_7,3
12n_0807_8,4
12n_0807_9,4
12n_0807_10,3
12n_0807_11,4
12n_0807_12,3
12n_0807_13,3
12n_0807_14,4
12n_0807_15,4
12n_0807_16,3
12n_0807_17,4
12n_0807_18,4
12n_0807_19,3
12n_0807_20,4
12n_0807_21,4
12n_0807_22,3
12n_0807_23,4
12n_0807_24,3
12n_0807_25,3
12n_0807_26,4
12n_0807_27,4
12n_0807_28,3
12n_0807_29,4
12n_0807_30,4
12n_0807_31,3
12n_0807_32,4
12n_0807_33,4
12n_0807_34,3
12n_0807_35,4
12n_0807_36,3
12n_0807_37,3
12n_0807_38,4
12n_0807_39,4
12n_0807_40,3
12n_0807_41,4
12n_0807_42,4
12n_0807_43,3
12n_0807_44,4
12n_0807_45,4
12n_0807_46,3
12n_0807_47,4
12n_0807_48,3
12n_0807_49,3
12n_0807_50,4
12n_0807_51,4
12n_0807_52,3
12n_0807_53,4
12n_0807_54,4
12n_0807_55,3
12n_0807_56,4
12n_0807_57,4
12n_0807_58,3
12n_0807_59,4
12n_0807_60,3
12n_0807_61,3
12n_0807_62,4
12n_0807_63,4
12n_0807_64,3
12n_0807_65,4
12n_0807_66,4
12n_0807_67,3
12n_0807_68,4
12n_0807_69,4
12n_0807_70,3
12n_0807_71,4
12n_0807_72,3
12n_0807_73,3
12n_0807_74,4
12n_0807_75,4
12n_0807_76,3
12n_0807_77,4
12n_0807_78,4
12n_0807_79,3
12n_0807_80,4
12n_0807_81,4
12n_0807_82,3
12n_0807_83,4
12n_0807_84,3
12n_0807_85,3
12n_0807_86,4
12n_0807_87,4
12n_0807_88,3
12n_0807_89,4
12n_0807_90,4
12n_0807_91,3
12n_0807_92,4
12n_0807_93,4
12n_0807_94,3
12n_0807_95,4
12n_0807_96,3
12n_0807_97,3
12n_0807_98,4
12n_0807_99,4
12n_0807_100,3
12n_0807_101,4
12n_0807_102,4
12n_0807_103,3
12n_0807_104,4
12n_0807_105,4
12n_0807_106,3
12n_0807_107,4
12n_0807_108,3
12n_0807_109,3
12n_0807_110,4
12n_0807_111,4
12n_0807_112,3
12n_0807_113,4
12n_0807_114,4
12n_0807_115,3
12n_0807_116,4
12n_0807_117,4
12n_0807_118,3
12n_0807_119,4
12n_0807_120,3
12n_0807_121,3
12n_0807_122,4
12n_0807_123,4
12n_0807_124,3
