name,pd_notation
10_97_0,"[[1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4]]"
10_97_1,"[[19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10]]"
10_97_2,"[[17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2]]"
10_97_3,"[[15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9]]"
10_97_4,"[[13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20]]"
10_97_5,"[[11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6]]"
10_97_6,"[[9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15]]"
10_97_7,"[[7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12], [5, 19, 6, 18]]"
10_97_8,"[[5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16], [3, 13, 4, 12]]"
10_97_9,"[[3, 13, 4, 12], [5, 19, 6, 18], [7, 14, 8, 15], [9, 7, 10, 6], [11, 1, 12, 20], [13, 8, 14, 9], [15, 3, 16, 2], [17, 11, 18, 10], [19, 5, 20, 4], [1, 17, 2, 16]]"
10_97_10,"[[2, 18, 3, 17], [4, 14, 5, 13], [6, 20, 7, 19], [8, 15, 9, 16], [10, 8, 11, 7], [12, 2, 13, 1], [14, 9, 15, 10], [16, 4, 17, 3], [18, 12, 19, 11], [20, 6, 1, 5]]"
10_97_11,"[[20, 6, 1, 5], [2, 18, 3, 17], [4, 14, 5, 13], [6, 20, 7, 19], [8, 15, 9, 16], [10, 8, 11, 7], [12, 2, 13, 1], [14, 9, 15, 10], [16, 4, 17, 3], [18, 12, 19, 11]]"
