name,pd_notation
11n_147_0,"[[3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18]]"
11n_147_1,"[[22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13]]"
11n_147_2,"[[20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8]]"
11n_147_3,"[[18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9]]"
11n_147_4,"[[16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22]]"
11n_147_5,"[[8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19]]"
11n_147_6,"[[12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11]]"
11n_147_7,"[[6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1]]"
11n_147_8,"[[10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2], [15, 5, 16, 4]]"
11n_147_9,"[[15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14], [5, 3, 6, 2]]"
11n_147_10,"[[5, 3, 6, 2], [15, 5, 16, 4], [10, 2, 11, 1], [6, 12, 7, 11], [12, 20, 13, 19], [8, 21, 9, 22], [16, 10, 17, 9], [18, 7, 19, 8], [20, 14, 21, 13], [22, 17, 1, 18], [3, 15, 4, 14]]"
11n_147_11,"[[4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19]]"
11n_147_12,"[[1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14]]"
11n_147_13,"[[21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9]]"
11n_147_14,"[[19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10]]"
11n_147_15,"[[17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1]]"
11n_147_16,"[[9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20]]"
11n_147_17,"[[13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12]]"
11n_147_18,"[[7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2]]"
11n_147_19,"[[11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3], [16, 6, 17, 5]]"
11n_147_20,"[[16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15], [6, 4, 7, 3]]"
11n_147_21,"[[6, 4, 7, 3], [16, 6, 17, 5], [11, 3, 12, 2], [7, 13, 8, 12], [13, 21, 14, 20], [9, 22, 10, 1], [17, 11, 18, 10], [19, 8, 20, 9], [21, 15, 22, 14], [1, 18, 2, 19], [4, 16, 5, 15]]"
11n_147_22,"[[5, 17, 6, 16], [7, 5, 8, 4], [17, 7, 18, 6], [12, 4, 13, 3], [8, 14, 9, 13], [14, 22, 15, 21], [10, 1, 11, 2], [18, 12, 19, 11], [20, 9, 21, 10], [22, 16, 1, 15], [2, 19, 3, 20]]"
11n_147_23,"[[2, 19, 3, 20], [5, 17, 6, 16], [7, 5, 8, 4], [17, 7, 18, 6], [12, 4, 13, 3], [8, 14, 9, 13], [14, 22, 15, 21], [10, 1, 11, 2], [18, 12, 19, 11], [20, 9, 21, 10], [22, 16, 1, 15]]"
11n_147_24,"[[22, 16, 1, 15], [2, 19, 3, 20], [5, 17, 6, 16], [7, 5, 8, 4], [17, 7, 18, 6], [12, 4, 13, 3], [8, 14, 9, 13], [14, 22, 15, 21], [10, 1, 11, 2], [18, 12, 19, 11], [20, 9, 21, 10]]"
11n_147_25,"[[20, 9, 21, 10], [22, 16, 1, 15], [2, 19, 3, 20], [5, 17, 6, 16], [7, 5, 8, 4], [17, 7, 18, 6], [12, 4, 13, 3], [8, 14, 9, 13], [14, 22, 15, 21], [10, 1, 11, 2], [18, 12, 19, 11]]"
