name,pd_notation
12_a_001_0,"[[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [11, 17, 12, 16], [13, 21, 14, 20], [15, 6, 16, 7], [17, 22, 18, 23], [19, 13, 20, 12], [21, 24, 22, 1], [23, 18, 24, 19]]"
12_a_001_1,"[[2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20]]"
12_a_001_2,"[[3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21]]"
12_a_001_3,"[[4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [14, 20, 15, 19], [16, 24, 17, 23], [18, 9, 19, 10], [20, 1, 21, 2], [22, 16, 23, 15], [24, 3, 1, 4], [2, 21, 3, 22]]"
12_a_001_4,"[[5, 9, 6, 8], [7, 12, 8, 13], [9, 15, 10, 14], [11, 18, 12, 19], [13, 6, 14, 7], [15, 21, 16, 20], [17, 1, 18, 24], [19, 10, 20, 11], [21, 2, 22, 3], [23, 17, 24, 16], [1, 4, 2, 5], [3, 22, 4, 23]]"
12_a_001_5,"[[6, 10, 7, 9], [8, 13, 9, 14], [10, 16, 11, 15], [12, 19, 13, 20], [14, 7, 15, 8], [16, 22, 17, 21], [18, 2, 19, 1], [20, 11, 21, 12], [22, 3, 23, 4], [24, 18, 1, 17], [2, 5, 3, 6], [4, 23, 5, 24]]"
12_a_001_6,"[[7, 11, 8, 10], [9, 14, 10, 15], [11, 17, 12, 16], [13, 20, 14, 21], [15, 8, 16, 9], [17, 23, 18, 22], [19, 3, 20, 2], [21, 12, 22, 13], [23, 4, 24, 5], [1, 19, 2, 18], [3, 6, 4, 7], [5, 24, 6, 1]]"
12_a_001_7,"[[8, 12, 9, 11], [10, 15, 11, 16], [12, 18, 13, 17], [14, 21, 15, 22], [16, 9, 17, 10], [18, 24, 19, 23], [20, 4, 21, 3], [22, 13, 23, 14], [24, 5, 1, 6], [2, 20, 3, 19], [4, 7, 5, 8], [6, 1, 7, 2]]"
12_a_001_8,"[[9, 13, 10, 12], [11, 16, 12, 17], [13, 19, 14, 18], [15, 22, 16, 23], [17, 10, 18, 11], [19, 1, 20, 24], [21, 5, 22, 4], [23, 14, 24, 15], [1, 6, 2, 7], [3, 21, 4, 20], [5, 8, 6, 9], [7, 2, 8, 3]]"
12_a_001_9,"[[10, 14, 11, 13], [12, 17, 13, 18], [14, 20, 15, 19], [16, 23, 17, 24], [18, 11, 19, 12], [20, 2, 21, 1], [22, 6, 23, 5], [24, 15, 1, 16], [2, 7, 3, 8], [4, 22, 5, 21], [6, 9, 7, 10], [8, 3, 9, 4]]"
12_a_001_10,"[[11, 15, 12, 14], [13, 18, 14, 19], [15, 21, 16, 20], [17, 24, 18, 1], [19, 12, 20, 13], [21, 3, 22, 2], [23, 7, 24, 6], [1, 16, 2, 17], [3, 8, 4, 9], [5, 23, 6, 22], [7, 10, 8, 11], [9, 4, 10, 5]]"
12_a_001_11,"[[12, 16, 13, 15], [14, 19, 15, 20], [16, 22, 17, 21], [18, 1, 19, 2], [20, 13, 21, 14], [22, 4, 23, 3], [24, 8, 1, 7], [2, 17, 3, 18], [4, 9, 5, 10], [6, 24, 7, 23], [8, 11, 9, 12], [10, 5, 11, 6]]"
