name,pd_notation
12a_0629_0,"[[24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9]]"
12a_0629_1,"[[22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12]]"
12a_0629_2,"[[20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2]]"
12a_0629_3,"[[18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23]]"
12a_0629_4,"[[16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22]]"
12a_0629_5,"[[14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3]]"
12a_0629_6,"[[12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16]]"
12a_0629_7,"[[10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17]]"
12a_0629_8,"[[8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20]]"
12a_0629_9,"[[6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5], [4, 14, 5, 13]]"
12a_0629_10,"[[4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8], [2, 6, 3, 5]]"
12a_0629_11,"[[2, 6, 3, 5], [4, 14, 5, 13], [6, 19, 7, 20], [8, 18, 9, 17], [10, 15, 11, 16], [12, 4, 13, 3], [14, 21, 15, 22], [16, 24, 17, 23], [18, 1, 19, 2], [20, 11, 21, 12], [22, 10, 23, 9], [24, 7, 1, 8]]"
12a_0629_12,"[[1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10]]"
12a_0629_13,"[[23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13]]"
12a_0629_14,"[[21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3]]"
12a_0629_15,"[[19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24]]"
12a_0629_16,"[[17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23]]"
12a_0629_17,"[[15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4]]"
12a_0629_18,"[[13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17]]"
12a_0629_19,"[[11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18]]"
12a_0629_20,"[[9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21]]"
12a_0629_21,"[[7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6], [5, 15, 6, 14]]"
12a_0629_22,"[[5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9], [3, 7, 4, 6]]"
12a_0629_23,"[[3, 7, 4, 6], [5, 15, 6, 14], [7, 20, 8, 21], [9, 19, 10, 18], [11, 16, 12, 17], [13, 5, 14, 4], [15, 22, 16, 23], [17, 1, 18, 24], [19, 2, 20, 3], [21, 12, 22, 13], [23, 11, 24, 10], [1, 8, 2, 9]]"
12a_0629_24,"[[2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11]]"
12a_0629_25,"[[24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14]]"
12a_0629_26,"[[22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4]]"
12a_0629_27,"[[20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1]]"
12a_0629_28,"[[18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24]]"
12a_0629_29,"[[16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5]]"
12a_0629_30,"[[14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18]]"
12a_0629_31,"[[12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19]]"
12a_0629_32,"[[10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22]]"
12a_0629_33,"[[8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7], [6, 16, 7, 15]]"
12a_0629_34,"[[6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10], [4, 8, 5, 7]]"
12a_0629_35,"[[4, 8, 5, 7], [6, 16, 7, 15], [8, 21, 9, 22], [10, 20, 11, 19], [12, 17, 13, 18], [14, 6, 15, 5], [16, 23, 17, 24], [18, 2, 19, 1], [20, 3, 21, 4], [22, 13, 23, 14], [24, 12, 1, 11], [2, 9, 3, 10]]"
12a_0629_36,"[[3, 10, 4, 11], [5, 9, 6, 8], [7, 17, 8, 16], [9, 22, 10, 23], [11, 21, 12, 20], [13, 18, 14, 19], [15, 7, 16, 6], [17, 24, 18, 1], [19, 3, 20, 2], [21, 4, 22, 5], [23, 14, 24, 15], [1, 13, 2, 12]]"
12a_0629_37,"[[1, 13, 2, 12], [3, 10, 4, 11], [5, 9, 6, 8], [7, 17, 8, 16], [9, 22, 10, 23], [11, 21, 12, 20], [13, 18, 14, 19], [15, 7, 16, 6], [17, 24, 18, 1], [19, 3, 20, 2], [21, 4, 22, 5], [23, 14, 24, 15]]"
12a_0629_38,"[[23, 14, 24, 15], [1, 13, 2, 12], [3, 10, 4, 11], [5, 9, 6, 8], [7, 17, 8, 16], [9, 22, 10, 23], [11, 21, 12, 20], [13, 18, 14, 19], [15, 7, 16, 6], [17, 24, 18, 1], [19, 3, 20, 2], [21, 4, 22, 5]]"
12a_0629_39,"[[21, 4, 22, 5], [23, 14, 24, 15], [1, 13, 2, 12], [3, 10, 4, 11], [5, 9, 6, 8], [7, 17, 8, 16], [9, 22, 10, 23], [11, 21, 12, 20], [13, 18, 14, 19], [15, 7, 16, 6], [17, 24, 18, 1], [19, 3, 20, 2]]"
