name,pd_notation
7_5_0,"[[1, 9, 2, 8], [3, 11, 4, 10], [5, 3, 6, 2], [7, 1, 8, 14], [9, 13, 10, 12], [11, 5, 12, 4], [13, 7, 14, 6]]"
7_5_1,"[[13, 7, 14, 6], [1, 9, 2, 8], [3, 11, 4, 10], [5, 3, 6, 2], [7, 1, 8, 14], [9, 13, 10, 12], [11, 5, 12, 4]]"
7_5_2,"[[11, 5, 12, 4], [13, 7, 14, 6], [1, 9, 2, 8], [3, 11, 4, 10], [5, 3, 6, 2], [7, 1, 8, 14], [9, 13, 10, 12]]"
7_5_3,"[[9, 13, 10, 12], [11, 5, 12, 4], [13, 7, 14, 6], [1, 9, 2, 8], [3, 11, 4, 10], [5, 3, 6, 2], [7, 1, 8, 14]]"
7_5_4,"[[7, 1, 8, 14], [9, 13, 10, 12], [11, 5, 12, 4], [13, 7, 14, 6], [1, 9, 2, 8], [3, 11, 4, 10], [5, 3, 6, 2]]"
7_5_5,"[[5, 3, 6, 2], [7, 1, 8, 14], [9, 13, 10, 12], [11, 5, 12, 4], [13, 7, 14, 6], [1, 9, 2, 8], [3, 11, 4, 10]]"
7_5_6,"[[3, 11, 4, 10], [5, 3, 6, 2], [7, 1, 8, 14], [9, 13, 10, 12], [11, 5, 12, 4], [13, 7, 14, 6], [1, 9, 2, 8]]"
7_5_7,"[[2, 10, 3, 9], [4, 12, 5, 11], [6, 4, 7, 3], [8, 2, 9, 1], [10, 14, 11, 13], [12, 6, 13, 5], [14, 8, 1, 7]]"
7_5_8,"[[14, 8, 1, 7], [2, 10, 3, 9], [4, 12, 5, 11], [6, 4, 7, 3], [8, 2, 9, 1], [10, 14, 11, 13], [12, 6, 13, 5]]"
7_5_9,"[[12, 6, 13, 5], [14, 8, 1, 7], [2, 10, 3, 9], [4, 12, 5, 11], [6, 4, 7, 3], [8, 2, 9, 1], [10, 14, 11, 13]]"
7_5_10,"[[10, 14, 11, 13], [12, 6, 13, 5], [14, 8, 1, 7], [2, 10, 3, 9], [4, 12, 5, 11], [6, 4, 7, 3], [8, 2, 9, 1]]"
7_5_11,"[[8, 2, 9, 1], [10, 14, 11, 13], [12, 6, 13, 5], [14, 8, 1, 7], [2, 10, 3, 9], [4, 12, 5, 11], [6, 4, 7, 3]]"
7_5_12,"[[6, 4, 7, 3], [8, 2, 9, 1], [10, 14, 11, 13], [12, 6, 13, 5], [14, 8, 1, 7], [2, 10, 3, 9], [4, 12, 5, 11]]"
7_5_13,"[[4, 12, 5, 11], [6, 4, 7, 3], [8, 2, 9, 1], [10, 14, 11, 13], [12, 6, 13, 5], [14, 8, 1, 7], [2, 10, 3, 9]]"
