name,pd_notation
8_19_modified_0,"[[1, 15, 2, 14], [5, 17, 6, 16], [6, 12, 7, 11], [9, 5, 10, 4], [10, 16, 11, 15], [12, 8, 13, 7], [13, 3, 14, 2], [17, 9, 18, 8], [18, 4, 1, 3]]"
8_19_modified_1,"[[2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4]]"
8_19_modified_2,"[[3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5]]"
8_19_modified_3,"[[4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6]]"
8_19_modified_4,"[[5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7]]"
8_19_modified_5,"[[6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8]]"
8_19_modified_6,"[[7, 3, 8, 2], [11, 5, 12, 4], [12, 18, 13, 17], [15, 11, 16, 10], [16, 4, 17, 3], [18, 14, 1, 13], [1, 9, 2, 8], [5, 15, 6, 14], [6, 10, 7, 9]]"
8_19_modified_7,"[[8, 4, 9, 3], [12, 6, 13, 5], [13, 1, 14, 18], [16, 12, 17, 11], [17, 5, 18, 4], [1, 15, 2, 14], [2, 10, 3, 9], [6, 16, 7, 15], [7, 11, 8, 10]]"
8_19_modified_8,"[[9, 5, 10, 4], [13, 7, 14, 6], [14, 2, 15, 1], [17, 13, 18, 12], [18, 6, 1, 5], [2, 16, 3, 15], [3, 11, 4, 10], [7, 17, 8, 16], [8, 12, 9, 11]]"
8_19_modified_9,"[[10, 6, 11, 5], [14, 8, 15, 7], [15, 3, 16, 2], [18, 14, 1, 13], [1, 7, 2, 6], [3, 17, 4, 16], [4, 12, 5, 11], [8, 18, 9, 17], [9, 13, 10, 12]]"
8_19_modified_10,"[[11, 7, 12, 6], [15, 9, 16, 8], [16, 4, 17, 3], [1, 15, 2, 14], [2, 8, 3, 7], [4, 18, 5, 17], [5, 13, 6, 12], [9, 1, 10, 18], [10, 14, 11, 13]]"
8_19_modified_11,"[[12, 8, 13, 7], [16, 10, 17, 9], [17, 5, 18, 4], [2, 16, 3, 15], [3, 9, 4, 8], [5, 1, 6, 18], [6, 14, 7, 13], [10, 2, 11, 1], [11, 15, 12, 14]]"
