name,pd_notation
11n_1,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[11,16,12,17],[14,7,15,8],[6,15,7,16],[13,20,14,21],[17,22,18,1],[21,18,22,19],[19,12,20,13]]"
11n_2,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[16,12,17,11],[7,15,8,14],[15,7,16,6],[20,14,21,13],[22,18,1,17],[18,22,19,21],[12,20,13,19]]"
11n_3,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[11,16,12,17],[7,15,8,14],[15,7,16,6],[13,20,14,21],[17,22,18,1],[21,18,22,19],[19,12,20,13]]"
11n_4,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[14,8,15,7],[18,12,19,11],[19,22,20,1],[15,20,16,21],[21,16,22,17],[12,18,13,17],[6,14,7,13]]"
11n_5,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[14,8,15,7],[11,18,12,19],[22,20,1,19],[20,16,21,15],[16,22,17,21],[17,12,18,13],[6,14,7,13]]"
11n_6,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[14,8,15,7],[11,18,12,19],[19,22,20,1],[15,20,16,21],[21,16,22,17],[17,12,18,13],[6,14,7,13]]"
11n_7,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,14,8,15],[18,12,19,11],[22,20,1,19],[20,16,21,15],[16,22,17,21],[12,18,13,17],[13,6,14,7]]"
11n_8,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,14,8,15],[11,18,12,19],[19,22,20,1],[15,20,16,21],[21,16,22,17],[17,12,18,13],[13,6,14,7]]"
11n_9,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[14,8,15,7],[15,21,16,20],[11,19,12,18],[19,13,20,12],[17,1,18,22],[21,17,22,16],[6,14,7,13]]"
11n_10,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,14,8,15],[20,15,21,16],[18,11,19,12],[12,19,13,20],[22,17,1,18],[16,21,17,22],[13,6,14,7]]"
11n_11,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,14,8,15],[15,21,16,20],[11,19,12,18],[19,13,20,12],[17,1,18,22],[21,17,22,16],[13,6,14,7]]"
11n_12,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,14,8,15],[17,21,18,20],[11,19,12,18],[19,13,20,12],[15,1,16,22],[21,17,22,16],[13,6,14,7]]"
11n_13,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[16,8,17,7],[17,1,18,22],[11,19,12,18],[13,21,14,20],[19,13,20,12],[21,15,22,14],[6,16,7,15]]"
11n_14,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,16,8,17],[22,17,1,18],[18,11,19,12],[20,13,21,14],[12,19,13,20],[14,21,15,22],[15,6,16,7]]"
11n_15,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,16,8,17],[17,1,18,22],[11,19,12,18],[13,21,14,20],[19,13,20,12],[21,15,22,14],[15,6,16,7]]"
11n_16,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[16,8,17,7],[17,1,18,22],[11,19,12,18],[21,13,22,12],[13,21,14,20],[19,15,20,14],[6,16,7,15]]"
11n_17,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,16,8,17],[22,17,1,18],[18,11,19,12],[12,21,13,22],[20,13,21,14],[14,19,15,20],[15,6,16,7]]"
11n_18,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[7,16,8,17],[17,1,18,22],[11,19,12,18],[21,13,22,12],[13,21,14,20],[19,15,20,14],[15,6,16,7]]"
11n_19,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[11,18,12,19],[7,17,8,16],[17,7,18,6],[13,20,14,21],[15,22,16,1],[19,12,20,13],[21,14,22,15]]"
11n_20,"[[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[11,18,12,19],[7,17,8,16],[17,7,18,6],[15,22,16,1],[21,12,22,13],[13,20,14,21],[19,14,20,15]]"
11n_21,"[[4,2,5,1],[8,4,9,3],[9,15,10,14],[12,5,13,6],[6,13,7,14],[11,19,12,18],[19,22,20,1],[15,20,16,21],[21,16,22,17],[17,11,18,10],[2,8,3,7]]"
