name,pd_notation
12_1_001_0,"[[24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2]]"
12_1_001_1,"[[22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13]]"
12_1_001_2,"[[20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24]]"
12_1_001_3,"[[18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8]]"
12_1_001_4,"[[16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21]]"
12_1_001_5,"[[14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17]]"
12_1_001_6,"[[12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4]]"
12_1_001_7,"[[10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16]]"
12_1_001_8,"[[8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11]]"
12_1_001_9,"[[6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5], [4, 9, 5, 10]]"
12_1_001_10,"[[4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20], [2, 6, 3, 5]]"
12_1_001_11,"[[2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [12, 18, 13, 17], [14, 22, 15, 21], [16, 7, 17, 8], [18, 23, 19, 24], [20, 14, 21, 13], [22, 1, 23, 2], [24, 19, 1, 20]]"
12_1_001_12,"[[1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3]]"
12_1_001_13,"[[23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14]]"
12_1_001_14,"[[21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1]]"
12_1_001_15,"[[19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9]]"
12_1_001_16,"[[17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22]]"
12_1_001_17,"[[15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18]]"
12_1_001_18,"[[13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5]]"
12_1_001_19,"[[11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17]]"
12_1_001_20,"[[9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12]]"
12_1_001_21,"[[7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6], [5, 10, 6, 11]]"
12_1_001_22,"[[5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21], [3, 7, 4, 6]]"
12_1_001_23,"[[3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [13, 19, 14, 18], [15, 23, 16, 22], [17, 8, 18, 9], [19, 24, 20, 1], [21, 15, 22, 14], [23, 2, 24, 3], [1, 20, 2, 21]]"
12_1_001_24,"[[2, 21, 3, 22], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [14, 20, 15, 19], [16, 24, 17, 23], [18, 9, 19, 10], [20, 1, 21, 2], [22, 16, 23, 15], [24, 3, 1, 4]]"
12_1_001_25,"[[24, 3, 1, 4], [2, 21, 3, 22], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [14, 20, 15, 19], [16, 24, 17, 23], [18, 9, 19, 10], [20, 1, 21, 2], [22, 16, 23, 15]]"
12_1_001_26,"[[22, 16, 23, 15], [24, 3, 1, 4], [2, 21, 3, 22], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [14, 20, 15, 19], [16, 24, 17, 23], [18, 9, 19, 10], [20, 1, 21, 2]]"
12_1_001_27,"[[20, 1, 21, 2], [22, 16, 23, 15], [24, 3, 1, 4], [2, 21, 3, 22], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [14, 20, 15, 19], [16, 24, 17, 23], [18, 9, 19, 10]]"
