name,pd_notation
12n_0612_0,"[[9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7]]"
12n_0612_1,"[[22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11]]"
12n_0612_2,"[[20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19]]"
12n_0612_3,"[[23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2]]"
12n_0612_4,"[[16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4]]"
12n_0612_5,"[[14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15]]"
12n_0612_6,"[[12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19]]"
12n_0612_7,"[[10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21], [17, 9, 18, 8]]"
12n_0612_8,"[[17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14], [6, 22, 7, 21]]"
12n_0612_9,"[[6, 22, 7, 21], [17, 9, 18, 8], [10, 20, 11, 19], [12, 16, 13, 15], [14, 3, 15, 4], [16, 1, 17, 2], [23, 18, 24, 19], [20, 12, 21, 11], [22, 8, 23, 7], [9, 1, 10, 24], [2, 6, 3, 5], [4, 13, 5, 14]]"
