name,pd_notation
12a_0339_0,"[[24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9]]"
12a_0339_1,"[[22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13]]"
12a_0339_2,"[[20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7]]"
12a_0339_3,"[[18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1]]"
12a_0339_4,"[[16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19]]"
12a_0339_5,"[[14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4]]"
12a_0339_6,"[[12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21]]"
12a_0339_7,"[[10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23]]"
12a_0339_8,"[[8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15]]"
12a_0339_9,"[[6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5], [4, 11, 5, 12]]"
12a_0339_10,"[[4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17], [2, 6, 3, 5]]"
12a_0339_11,"[[2, 6, 3, 5], [4, 11, 5, 12], [6, 16, 7, 15], [8, 24, 9, 23], [10, 22, 11, 21], [12, 3, 13, 4], [14, 20, 15, 19], [16, 2, 17, 1], [18, 8, 19, 7], [20, 14, 21, 13], [22, 10, 23, 9], [24, 18, 1, 17]]"
12a_0339_12,"[[1, 19, 2, 18], [3, 7, 4, 6], [5, 12, 6, 13], [7, 17, 8, 16], [9, 1, 10, 24], [11, 23, 12, 22], [13, 4, 14, 5], [15, 21, 16, 20], [17, 3, 18, 2], [19, 9, 20, 8], [21, 15, 22, 14], [23, 11, 24, 10]]"
12a_0339_13,"[[23, 11, 24, 10], [1, 19, 2, 18], [3, 7, 4, 6], [5, 12, 6, 13], [7, 17, 8, 16], [9, 1, 10, 24], [11, 23, 12, 22], [13, 4, 14, 5], [15, 21, 16, 20], [17, 3, 18, 2], [19, 9, 20, 8], [21, 15, 22, 14]]"
12a_0339_14,"[[21, 15, 22, 14], [23, 11, 24, 10], [1, 19, 2, 18], [3, 7, 4, 6], [5, 12, 6, 13], [7, 17, 8, 16], [9, 1, 10, 24], [11, 23, 12, 22], [13, 4, 14, 5], [15, 21, 16, 20], [17, 3, 18, 2], [19, 9, 20, 8]]"
12a_0339_15,"[[19, 9, 20, 8], [21, 15, 22, 14], [23, 11, 24, 10], [1, 19, 2, 18], [3, 7, 4, 6], [5, 12, 6, 13], [7, 17, 8, 16], [9, 1, 10, 24], [11, 23, 12, 22], [13, 4, 14, 5], [15, 21, 16, 20], [17, 3, 18, 2]]"
12a_0339_16,"[[17, 3, 18, 2], [19, 9, 20, 8], [21, 15, 22, 14], [23, 11, 24, 10], [1, 19, 2, 18], [3, 7, 4, 6], [5, 12, 6, 13], [7, 17, 8, 16], [9, 1, 10, 24], [11, 23, 12, 22], [13, 4, 14, 5], [15, 21, 16, 20]]"
12a_0339_17,"[[15, 21, 16, 20], [17, 3, 18, 2], [19, 9, 20, 8], [21, 15, 22, 14], [23, 11, 24, 10], [1, 19, 2, 18], [3, 7, 4, 6], [5, 12, 6, 13], [7, 17, 8, 16], [9, 1, 10, 24], [11, 23, 12, 22], [13, 4, 14, 5]]"
