name,pd_notation
12a_0097_0,"[[24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11]]"
12a_0097_1,"[[22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13]]"
12a_0097_2,"[[20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23]]"
12a_0097_3,"[[18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1]]"
12a_0097_4,"[[16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7]]"
12a_0097_5,"[[14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21]]"
12a_0097_6,"[[12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19]]"
12a_0097_7,"[[10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3]]"
12a_0097_8,"[[8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9], [6, 16, 7, 15]]"
12a_0097_9,"[[6, 16, 7, 15], [8, 4, 9, 3], [10, 20, 11, 19], [12, 22, 13, 21], [14, 8, 15, 7], [16, 2, 17, 1], [18, 24, 19, 23], [20, 14, 21, 13], [22, 12, 23, 11], [24, 18, 1, 17], [2, 6, 3, 5], [4, 10, 5, 9]]"
