name,pd_notation
12n_0013_0,"[[19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22]]"
12n_0013_1,"[[13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21]]"
12n_0013_2,"[[23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19]]"
12n_0013_3,"[[1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8]]"
12n_0013_4,"[[16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14]]"
12n_0013_5,"[[21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13]]"
12n_0013_6,"[[17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4]]"
12n_0013_7,"[[10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16]]"
12n_0013_8,"[[8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11]]"
12n_0013_9,"[[6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5], [4, 9, 5, 10]]"
12n_0013_10,"[[4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1], [2, 6, 3, 5]]"
12n_0013_11,"[[2, 6, 3, 5], [4, 9, 5, 10], [6, 12, 7, 11], [8, 15, 9, 16], [10, 3, 11, 4], [17, 12, 18, 13], [21, 15, 22, 14], [16, 7, 17, 8], [1, 18, 2, 19], [23, 20, 24, 21], [13, 23, 14, 22], [19, 24, 20, 1]]"
12n_0013_12,"[[20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23]]"
12n_0013_13,"[[14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22]]"
12n_0013_14,"[[24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20]]"
12n_0013_15,"[[2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9]]"
12n_0013_16,"[[17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15]]"
12n_0013_17,"[[22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14]]"
12n_0013_18,"[[18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5]]"
12n_0013_19,"[[11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17]]"
12n_0013_20,"[[9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12]]"
12n_0013_21,"[[7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6], [5, 10, 6, 11]]"
12n_0013_22,"[[5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2], [3, 7, 4, 6]]"
12n_0013_23,"[[3, 7, 4, 6], [5, 10, 6, 11], [7, 13, 8, 12], [9, 16, 10, 17], [11, 4, 12, 5], [18, 13, 19, 14], [22, 16, 23, 15], [17, 8, 18, 9], [2, 19, 3, 20], [24, 21, 1, 22], [14, 24, 15, 23], [20, 1, 21, 2]]"
12n_0013_24,"[[21, 2, 22, 3], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [19, 14, 20, 15], [23, 17, 24, 16], [18, 9, 19, 10], [3, 20, 4, 21], [1, 22, 2, 23], [15, 1, 16, 24]]"
12n_0013_25,"[[15, 1, 16, 24], [21, 2, 22, 3], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [19, 14, 20, 15], [23, 17, 24, 16], [18, 9, 19, 10], [3, 20, 4, 21], [1, 22, 2, 23]]"
12n_0013_26,"[[1, 22, 2, 23], [15, 1, 16, 24], [21, 2, 22, 3], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [19, 14, 20, 15], [23, 17, 24, 16], [18, 9, 19, 10], [3, 20, 4, 21]]"
12n_0013_27,"[[3, 20, 4, 21], [1, 22, 2, 23], [15, 1, 16, 24], [21, 2, 22, 3], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [19, 14, 20, 15], [23, 17, 24, 16], [18, 9, 19, 10]]"
12n_0013_28,"[[18, 9, 19, 10], [3, 20, 4, 21], [1, 22, 2, 23], [15, 1, 16, 24], [21, 2, 22, 3], [4, 8, 5, 7], [6, 11, 7, 12], [8, 14, 9, 13], [10, 17, 11, 18], [12, 5, 13, 6], [19, 14, 20, 15], [23, 17, 24, 16]]"
