name,pd_notation
12n_0300_0,"[[24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2]]"
12n_0300_1,"[[22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21]]"
12n_0300_2,"[[7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18]]"
12n_0300_3,"[[9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16]]"
12n_0300_4,"[[19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24]]"
12n_0300_5,"[[14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4]]"
12n_0300_6,"[[12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11]]"
12n_0300_7,"[[21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13], [17, 9, 18, 8]]"
12n_0300_8,"[[17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12], [6, 14, 7, 13]]"
12n_0300_9,"[[6, 14, 7, 13], [17, 9, 18, 8], [21, 10, 22, 11], [12, 3, 13, 4], [14, 23, 15, 24], [19, 17, 20, 16], [9, 19, 10, 18], [7, 20, 8, 21], [22, 1, 23, 2], [24, 15, 1, 16], [2, 6, 3, 5], [4, 11, 5, 12]]"
