name,pd_notation
8_19_modified_0,"[[1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9]]"
8_19_modified_1,"[[18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3]]"
8_19_modified_2,"[[14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8]]"
8_19_modified_3,"[[13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16]]"
8_19_modified_4,"[[11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5]]"
8_19_modified_5,"[[10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12]]"
8_19_modified_6,"[[7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15], [6, 18, 7, 17]]"
8_19_modified_7,"[[6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4], [2, 16, 3, 15]]"
8_19_modified_8,"[[2, 16, 3, 15], [6, 18, 7, 17], [7, 13, 8, 12], [10, 6, 11, 5], [11, 17, 12, 16], [13, 9, 14, 8], [14, 4, 15, 3], [18, 10, 1, 9], [1, 5, 2, 4]]"
8_19_modified_9,"[[2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10]]"
8_19_modified_10,"[[1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4]]"
8_19_modified_11,"[[15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9]]"
8_19_modified_12,"[[14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17]]"
8_19_modified_13,"[[12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6]]"
8_19_modified_14,"[[11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13]]"
8_19_modified_15,"[[8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16], [7, 1, 8, 18]]"
8_19_modified_16,"[[7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5], [3, 17, 4, 16]]"
8_19_modified_17,"[[3, 17, 4, 16], [7, 1, 8, 18], [8, 14, 9, 13], [11, 7, 12, 6], [12, 18, 13, 17], [14, 10, 15, 9], [15, 5, 16, 4], [1, 11, 2, 10], [2, 6, 3, 5]]"
8_19_modified_18,"[[3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11]]"
8_19_modified_19,"[[2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5]]"
8_19_modified_20,"[[16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10]]"
8_19_modified_21,"[[15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18]]"
8_19_modified_22,"[[13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7]]"
8_19_modified_23,"[[12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14]]"
8_19_modified_24,"[[9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17], [8, 2, 9, 1]]"
8_19_modified_25,"[[8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6], [4, 18, 5, 17]]"
8_19_modified_26,"[[4, 18, 5, 17], [8, 2, 9, 1], [9, 15, 10, 14], [12, 8, 13, 7], [13, 1, 14, 18], [15, 11, 16, 10], [16, 6, 17, 5], [2, 12, 3, 11], [3, 7, 4, 6]]"
8_19_modified_27,"[[4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12]]"
8_19_modified_28,"[[3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6]]"
8_19_modified_29,"[[17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11]]"
8_19_modified_30,"[[16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1]]"
8_19_modified_31,"[[14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8]]"
8_19_modified_32,"[[13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15]]"
8_19_modified_33,"[[10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18], [9, 3, 10, 2]]"
8_19_modified_34,"[[9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7], [5, 1, 6, 18]]"
8_19_modified_35,"[[5, 1, 6, 18], [9, 3, 10, 2], [10, 16, 11, 15], [13, 9, 14, 8], [14, 2, 15, 1], [16, 12, 17, 11], [17, 7, 18, 6], [3, 13, 4, 12], [4, 8, 5, 7]]"
8_19_modified_36,"[[5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13]]"
8_19_modified_37,"[[4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7]]"
8_19_modified_38,"[[18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12]]"
8_19_modified_39,"[[17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2]]"
8_19_modified_40,"[[15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9]]"
8_19_modified_41,"[[14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16]]"
8_19_modified_42,"[[11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1], [10, 4, 11, 3]]"
8_19_modified_43,"[[10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8], [6, 2, 7, 1]]"
8_19_modified_44,"[[6, 2, 7, 1], [10, 4, 11, 3], [11, 17, 12, 16], [14, 10, 15, 9], [15, 3, 16, 2], [17, 13, 18, 12], [18, 8, 1, 7], [4, 14, 5, 13], [5, 9, 6, 8]]"
8_19_modified_45,"[[6, 10, 7, 9], [7, 3, 8, 2], [11, 5, 12, 4], [12, 18, 13, 17], [15, 11, 16, 10], [16, 4, 17, 3], [18, 14, 1, 13], [1, 9, 2, 8], [5, 15, 6, 14]]"
