name,pd_notation
9_1,"[[1,11,2,10],[3,13,4,12],[5,15,6,14],[7,17,8,16],[9,1,10,18],[11,3,12,2],[13,5,14,4],[15,7,16,6],[17,9,18,8]]"
9_2,"[[2,8,3,7],[4,14,5,13],[6,4,7,3],[8,2,9,1],[10,18,11,17],[12,16,13,15],[14,6,15,5],[16,12,17,11],[18,10,1,9]]"
9_3,"[[1,11,2,10],[3,15,4,14],[5,13,6,12],[7,17,8,16],[9,1,10,18],[11,3,12,2],[13,5,14,4],[15,7,16,6],[17,9,18,8]]"
9_4,"[[2,14,3,13],[4,12,5,11],[6,16,7,15],[8,18,9,17],[10,6,11,5],[12,4,13,3],[14,2,15,1],[16,8,17,7],[18,10,1,9]]"
9_5,"[[2,14,3,13],[4,12,5,11],[6,16,7,15],[8,18,9,17],[10,6,11,5],[12,4,13,3],[14,2,15,1],[16,10,17,9],[18,8,1,7]]"
9_6,"[[1,13,2,12],[3,7,4,6],[5,15,6,14],[7,3,8,2],[9,17,10,16],[11,1,12,18],[13,5,14,4],[15,9,16,8],[17,11,18,10]]"
9_7,"[[2,10,3,9],[4,12,5,11],[6,16,7,15],[8,6,9,5],[10,4,11,3],[12,2,13,1],[14,18,15,17],[16,8,17,7],[18,14,1,13]]"
9_8,"[[1,16,2,17],[3,14,4,15],[5,11,6,10],[7,1,8,18],[9,13,10,12],[11,7,12,6],[13,4,14,5],[15,2,16,3],[17,9,18,8]]"
9_9,"[[1,13,2,12],[3,9,4,8],[5,15,6,14],[7,17,8,16],[9,3,10,2],[11,1,12,18],[13,5,14,4],[15,7,16,6],[17,11,18,10]]"
9_10,"[[1,13,2,12],[3,11,4,10],[5,17,6,16],[7,15,8,14],[9,1,10,18],[11,3,12,2],[13,5,14,4],[15,7,16,6],[17,9,18,8]]"
9_11,"[[2,7,3,8],[4,13,5,14],[6,15,7,16],[8,12,9,11],[10,17,11,18],[12,3,13,4],[14,5,15,6],[16,2,17,1],[18,9,1,10]]"
9_12,"[[2,9,3,10],[4,16,5,15],[6,14,7,13],[8,3,9,4],[10,18,11,17],[12,8,13,7],[14,6,15,5],[16,2,17,1],[18,12,1,11]]"
9_13,"[[2,12,3,11],[4,14,5,13],[6,16,7,15],[8,18,9,17],[10,6,11,5],[12,4,13,3],[14,2,15,1],[16,10,17,9],[18,8,1,7]]"
9_14,"[[1,12,2,13],[3,10,4,11],[5,16,6,17],[7,1,8,18],[9,4,10,5],[11,2,12,3],[13,9,14,8],[15,6,16,7],[17,15,18,14]]"
9_15,"[[2,9,3,10],[4,7,5,8],[6,15,7,16],[8,3,9,4],[10,14,11,13],[12,17,13,18],[14,5,15,6],[16,2,17,1],[18,11,1,12]]"
9_16,"[[1,9,2,8],[3,11,4,10],[5,15,6,14],[7,5,8,4],[9,3,10,2],[11,17,12,16],[13,1,14,18],[15,7,16,6],[17,13,18,12]]"
9_17,"[[1,9,2,8],[3,12,4,13],[5,16,6,17],[7,1,8,18],[9,3,10,2],[11,4,12,5],[13,11,14,10],[15,6,16,7],[17,15,18,14]]"
9_18,"[[2,12,3,11],[4,2,5,1],[6,16,7,15],[8,14,9,13],[10,18,11,17],[12,4,13,3],[14,8,15,7],[16,10,17,9],[18,6,1,5]]"
9_19,"[[2,14,3,13],[4,11,5,12],[6,4,7,3],[8,17,9,18],[10,5,11,6],[12,8,13,7],[14,2,15,1],[16,9,17,10],[18,16,1,15]]"
9_20,"[[1,11,2,10],[3,16,4,17],[5,13,6,12],[7,3,8,2],[9,1,10,18],[11,15,12,14],[13,7,14,6],[15,4,16,5],[17,9,18,8]]"
9_21,"[[2,7,3,8],[4,13,5,14],[6,15,7,16],[8,12,9,11],[10,17,11,18],[12,5,13,6],[14,3,15,4],[16,2,17,1],[18,9,1,10]]"
9_22,"[[1,7,2,6],[3,8,4,9],[5,14,6,15],[7,11,8,10],[9,2,10,3],[11,17,12,16],[13,1,14,18],[15,4,16,5],[17,13,18,12]]"
9_23,"[[2,16,3,15],[4,12,5,11],[6,4,7,3],[8,18,9,17],[10,14,11,13],[12,6,13,5],[14,8,15,7],[16,2,17,1],[18,10,1,9]]"
9_24,"[[1,13,2,12],[3,7,4,6],[5,1,6,18],[7,14,8,15],[9,16,10,17],[11,3,12,2],[13,10,14,11],[15,8,16,9],[17,5,18,4]]"
9_25,"[[2,10,3,9],[4,17,5,18],[6,12,7,11],[8,4,9,3],[10,14,11,13],[12,8,13,7],[14,2,15,1],[16,5,17,6],[18,16,1,15]]"
9_26,"[[2,10,3,9],[4,11,5,12],[6,17,7,18],[8,15,9,16],[10,14,11,13],[12,3,13,4],[14,2,15,1],[16,5,17,6],[18,7,1,8]]"
9_27,"[[2,9,3,10],[4,7,5,8],[6,14,7,13],[8,15,9,16],[10,18,11,17],[12,3,13,4],[14,6,15,5],[16,2,17,1],[18,12,1,11]]"
