name,pd_notation
9_29_0,"[[1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9]]"
9_29_1,"[[17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3]]"
9_29_2,"[[15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6]]"
9_29_3,"[[13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17]]"
9_29_4,"[[11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4]]"
9_29_5,"[[9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12]]"
9_29_6,"[[7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10], [5, 18, 6, 1]]"
9_29_7,"[[5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15], [3, 11, 4, 10]]"
9_29_8,"[[3, 11, 4, 10], [5, 18, 6, 1], [7, 13, 8, 12], [9, 5, 10, 4], [11, 16, 12, 17], [13, 7, 14, 6], [15, 2, 16, 3], [17, 8, 18, 9], [1, 14, 2, 15]]"
9_29_9,"[[2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10]]"
9_29_10,"[[18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4]]"
9_29_11,"[[16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7]]"
9_29_12,"[[14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18]]"
9_29_13,"[[12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5]]"
9_29_14,"[[10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13]]"
9_29_15,"[[8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11], [6, 1, 7, 2]]"
9_29_16,"[[6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16], [4, 12, 5, 11]]"
9_29_17,"[[4, 12, 5, 11], [6, 1, 7, 2], [8, 14, 9, 13], [10, 6, 11, 5], [12, 17, 13, 18], [14, 8, 15, 7], [16, 3, 17, 4], [18, 9, 1, 10], [2, 15, 3, 16]]"
9_29_18,"[[3, 16, 4, 17], [5, 13, 6, 12], [7, 2, 8, 3], [9, 15, 10, 14], [11, 7, 12, 6], [13, 18, 14, 1], [15, 9, 16, 8], [17, 4, 18, 5], [1, 10, 2, 11]]"
9_29_19,"[[1, 10, 2, 11], [3, 16, 4, 17], [5, 13, 6, 12], [7, 2, 8, 3], [9, 15, 10, 14], [11, 7, 12, 6], [13, 18, 14, 1], [15, 9, 16, 8], [17, 4, 18, 5]]"
9_29_20,"[[17, 4, 18, 5], [1, 10, 2, 11], [3, 16, 4, 17], [5, 13, 6, 12], [7, 2, 8, 3], [9, 15, 10, 14], [11, 7, 12, 6], [13, 18, 14, 1], [15, 9, 16, 8]]"
9_29_21,"[[15, 9, 16, 8], [17, 4, 18, 5], [1, 10, 2, 11], [3, 16, 4, 17], [5, 13, 6, 12], [7, 2, 8, 3], [9, 15, 10, 14], [11, 7, 12, 6], [13, 18, 14, 1]]"
9_29_22,"[[13, 18, 14, 1], [15, 9, 16, 8], [17, 4, 18, 5], [1, 10, 2, 11], [3, 16, 4, 17], [5, 13, 6, 12], [7, 2, 8, 3], [9, 15, 10, 14], [11, 7, 12, 6]]"
9_29_23,"[[11, 7, 12, 6], [13, 18, 14, 1], [15, 9, 16, 8], [17, 4, 18, 5], [1, 10, 2, 11], [3, 16, 4, 17], [5, 13, 6, 12], [7, 2, 8, 3], [9, 15, 10, 14]]"
