name,pd_notation
6_3_0_sage,"[[3, 8, 4, 9], [5, 2, 6, 3], [9, 4, 10, 5], [1, 11, 2, 10], [11, 7, 12, 6], [7, 1, 8, 12]]"
6_3_1_sage,"[[7, 1, 8, 12], [3, 8, 4, 9], [5, 2, 6, 3], [9, 4, 10, 5], [1, 11, 2, 10], [11, 7, 12, 6]]"
6_3_2_sage,"[[11, 7, 12, 6], [7, 1, 8, 12], [3, 8, 4, 9], [5, 2, 6, 3], [9, 4, 10, 5], [1, 11, 2, 10]]"
6_3_3_sage,"[[1, 11, 2, 10], [11, 7, 12, 6], [7, 1, 8, 12], [3, 8, 4, 9], [5, 2, 6, 3], [9, 4, 10, 5]]"
6_3_4_sage,"[[9, 4, 10, 5], [1, 11, 2, 10], [11, 7, 12, 6], [7, 1, 8, 12], [3, 8, 4, 9], [5, 2, 6, 3]]"
6_3_5_sage,"[[5, 2, 6, 3], [9, 4, 10, 5], [1, 11, 2, 10], [11, 7, 12, 6], [7, 1, 8, 12], [3, 8, 4, 9]]"
6_3_6_sage,"[[4, 9, 5, 10], [6, 3, 7, 4], [10, 5, 11, 6], [2, 12, 3, 11], [12, 8, 1, 7], [8, 2, 9, 1]]"
6_3_7_sage,"[[8, 2, 9, 1], [4, 9, 5, 10], [6, 3, 7, 4], [10, 5, 11, 6], [2, 12, 3, 11], [12, 8, 1, 7]]"
6_3_8_sage,"[[12, 8, 1, 7], [8, 2, 9, 1], [4, 9, 5, 10], [6, 3, 7, 4], [10, 5, 11, 6], [2, 12, 3, 11]]"
6_3_9_sage,"[[2, 12, 3, 11], [12, 8, 1, 7], [8, 2, 9, 1], [4, 9, 5, 10], [6, 3, 7, 4], [10, 5, 11, 6]]"
6_3_10_sage,"[[10, 5, 11, 6], [2, 12, 3, 11], [12, 8, 1, 7], [8, 2, 9, 1], [4, 9, 5, 10], [6, 3, 7, 4]]"
6_3_11_sage,"[[6, 3, 7, 4], [10, 5, 11, 6], [2, 12, 3, 11], [12, 8, 1, 7], [8, 2, 9, 1], [4, 9, 5, 10]]"
6_3_12_sage,"[[5, 10, 6, 11], [7, 4, 8, 5], [11, 6, 12, 7], [3, 1, 4, 12], [1, 9, 2, 8], [9, 3, 10, 2]]"
6_3_13_sage,"[[9, 3, 10, 2], [5, 10, 6, 11], [7, 4, 8, 5], [11, 6, 12, 7], [3, 1, 4, 12], [1, 9, 2, 8]]"
6_3_14_sage,"[[1, 9, 2, 8], [9, 3, 10, 2], [5, 10, 6, 11], [7, 4, 8, 5], [11, 6, 12, 7], [3, 1, 4, 12]]"
6_3_15_sage,"[[3, 1, 4, 12], [1, 9, 2, 8], [9, 3, 10, 2], [5, 10, 6, 11], [7, 4, 8, 5], [11, 6, 12, 7]]"
6_3_16_sage,"[[11, 6, 12, 7], [3, 1, 4, 12], [1, 9, 2, 8], [9, 3, 10, 2], [5, 10, 6, 11], [7, 4, 8, 5]]"
6_3_17_sage,"[[7, 4, 8, 5], [11, 6, 12, 7], [3, 1, 4, 12], [1, 9, 2, 8], [9, 3, 10, 2], [5, 10, 6, 11]]"
