name,pd_notation
thistlethwaite_unknot_0,"[[6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5]]"
thistlethwaite_unknot_1,"[[2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12]]"
thistlethwaite_unknot_2,"[[1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3]]"
thistlethwaite_unknot_3,"[[22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11]]"
thistlethwaite_unknot_4,"[[19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2]]"
thistlethwaite_unknot_5,"[[18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4]]"
thistlethwaite_unknot_6,"[[16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16]]"
thistlethwaite_unknot_7,"[[8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22], [7, 5, 8, 4]]"
thistlethwaite_unknot_8,"[[7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23], [6, 21, 7, 22]]"
thistlethwaite_unknot_9,"[[6, 21, 7, 22], [7, 5, 8, 4], [8, 15, 9, 16], [16, 3, 17, 4], [18, 7, 19, 2], [19, 10, 20, 11], [22, 4, 23, 3], [1, 13, 2, 12], [2, 6, 3, 5], [6, 10, 7, 9], [2, 17, 3, 18], [4, 24, 5, 23]]"
