name,pd_notation
unknot_equivalent_0,"[[1, 4, 2, 5], [6, 3, 7, 4], [7, 3, 8, 2], [8, 6, 1, 5]]"
unknot_equivalent_1,"[[2, 5, 3, 6], [7, 4, 8, 5], [8, 4, 1, 3], [1, 7, 2, 6]]"
unknot_equivalent_2,"[[3, 6, 4, 7], [8, 5, 1, 6], [1, 5, 2, 4], [2, 8, 3, 7]]"
unknot_equivalent_3,"[[4, 7, 5, 8], [1, 6, 2, 7], [2, 6, 3, 5], [3, 1, 4, 8]]"
unknot_equivalent_4,"[[5, 8, 6, 1], [2, 7, 3, 8], [3, 7, 4, 6], [4, 2, 5, 1]]"
unknot_equivalent_5,"[[6, 1, 7, 2], [3, 8, 4, 1], [4, 8, 5, 7], [5, 3, 6, 2]]"
unknot_equivalent_6,"[[7, 2, 8, 3], [4, 1, 5, 2], [5, 1, 6, 8], [6, 4, 7, 3]]"
unknot_equivalent_7,"[[8, 3, 1, 4], [5, 2, 6, 3], [6, 2, 7, 1], [7, 5, 8, 4]]"
unknot_equivalent_reversed_8,"[[2, 6, 3, 5], [3, 1, 4, 8], [4, 7, 5, 8], [1, 6, 2, 7]]"
unknot_equivalent_reversed_9,"[[3, 7, 4, 6], [4, 2, 5, 1], [5, 8, 6, 1], [2, 7, 3, 8]]"
unknot_equivalent_reversed_10,"[[4, 8, 5, 7], [5, 3, 6, 2], [6, 1, 7, 2], [3, 8, 4, 1]]"
unknot_equivalent_reversed_11,"[[5, 1, 6, 8], [6, 4, 7, 3], [7, 2, 8, 3], [4, 1, 5, 2]]"
unknot_equivalent_reversed_12,"[[6, 2, 7, 1], [7, 5, 8, 4], [8, 3, 1, 4], [5, 2, 6, 3]]"
unknot_equivalent_reversed_13,"[[7, 3, 8, 2], [8, 6, 1, 5], [1, 4, 2, 5], [6, 3, 7, 4]]"
unknot_equivalent_reversed_14,"[[8, 4, 1, 3], [1, 7, 2, 6], [2, 5, 3, 6], [7, 4, 8, 5]]"
unknot_equivalent_reversed_15,"[[1, 5, 2, 4], [2, 8, 3, 7], [3, 6, 4, 7], [8, 5, 1, 6]]"
