name,pd_notation
very_complicated_unknot_0,"[[1, 20, 2, 21], [4, 13, 5, 14], [6, 20, 7, 19], [7, 1, 8, 26], [8, 16, 9, 15], [10, 3, 11, 4], [11, 22, 12, 23], [23, 12, 24, 13], [14, 18, 15, 17], [16, 10, 17, 9], [18, 25, 19, 26], [21, 2, 22, 3], [23, 12, 24, 13], [24, 6, 25, 5]]"
very_complicated_unknot_1,"[[2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6]]"
very_complicated_unknot_2,"[[3, 22, 4, 23], [6, 15, 7, 16], [8, 22, 9, 21], [9, 3, 10, 28], [10, 18, 11, 17], [12, 5, 13, 6], [13, 24, 14, 25], [25, 14, 26, 15], [16, 20, 17, 19], [18, 12, 19, 11], [20, 27, 21, 28], [23, 4, 24, 5], [25, 14, 26, 15], [26, 8, 27, 7]]"
very_complicated_unknot_3,"[[4, 23, 5, 24], [7, 16, 8, 17], [9, 23, 10, 22], [10, 4, 11, 1], [11, 19, 12, 18], [13, 6, 14, 7], [14, 25, 15, 26], [26, 15, 27, 16], [17, 21, 18, 20], [19, 13, 20, 12], [21, 28, 22, 1], [24, 5, 25, 6], [26, 15, 27, 16], [27, 9, 28, 8]]"
very_complicated_unknot_4,"[[5, 24, 6, 25], [8, 17, 9, 18], [10, 24, 11, 23], [11, 5, 12, 2], [12, 20, 13, 19], [14, 7, 15, 8], [15, 26, 16, 27], [27, 16, 28, 17], [18, 22, 19, 21], [20, 14, 21, 13], [22, 1, 23, 2], [25, 6, 26, 7], [27, 16, 28, 17], [28, 10, 1, 9]]"
very_complicated_unknot_5,"[[6, 25, 7, 26], [9, 18, 10, 19], [11, 25, 12, 24], [12, 6, 13, 3], [13, 21, 14, 20], [15, 8, 16, 9], [16, 27, 17, 28], [28, 17, 1, 18], [19, 23, 20, 22], [21, 15, 22, 14], [23, 2, 24, 3], [26, 7, 27, 8], [28, 17, 1, 18], [1, 11, 2, 10]]"
very_complicated_unknot_6,"[[7, 26, 8, 27], [10, 19, 11, 20], [12, 26, 13, 25], [13, 7, 14, 4], [14, 22, 15, 21], [16, 9, 17, 10], [17, 28, 18, 1], [1, 18, 2, 19], [20, 24, 21, 23], [22, 16, 23, 15], [24, 3, 25, 4], [27, 8, 28, 9], [1, 18, 2, 19], [2, 12, 3, 11]]"
very_complicated_unknot_7,"[[8, 27, 9, 28], [11, 20, 12, 21], [13, 27, 14, 26], [14, 8, 15, 5], [15, 23, 16, 22], [17, 10, 18, 11], [18, 1, 19, 2], [2, 19, 3, 20], [21, 25, 22, 24], [23, 17, 24, 16], [25, 4, 26, 5], [28, 9, 1, 10], [2, 19, 3, 20], [3, 13, 4, 12]]"
very_complicated_unknot_8,"[[9, 28, 10, 1], [12, 21, 13, 22], [14, 28, 15, 27], [15, 9, 16, 6], [16, 24, 17, 23], [18, 11, 19, 12], [19, 2, 20, 3], [3, 20, 4, 21], [22, 26, 23, 25], [24, 18, 25, 17], [26, 5, 27, 6], [1, 10, 2, 11], [3, 20, 4, 21], [4, 14, 5, 13]]"
very_complicated_unknot_9,"[[10, 1, 11, 2], [13, 22, 14, 23], [15, 1, 16, 28], [16, 10, 17, 7], [17, 25, 18, 24], [19, 12, 20, 13], [20, 3, 21, 4], [4, 21, 5, 22], [23, 27, 24, 26], [25, 19, 26, 18], [27, 6, 28, 7], [2, 11, 3, 12], [4, 21, 5, 22], [5, 15, 6, 14]]"
very_complicated_unknot_10,"[[11, 2, 12, 3], [14, 23, 15, 24], [16, 2, 17, 1], [17, 11, 18, 8], [18, 26, 19, 25], [20, 13, 21, 14], [21, 4, 22, 5], [5, 22, 6, 23], [24, 28, 25, 27], [26, 20, 27, 19], [28, 7, 1, 8], [3, 12, 4, 13], [5, 22, 6, 23], [6, 16, 7, 15]]"
very_complicated_unknot_11,"[[12, 3, 13, 4], [15, 24, 16, 25], [17, 3, 18, 2], [18, 12, 19, 9], [19, 27, 20, 26], [21, 14, 22, 15], [22, 5, 23, 6], [6, 23, 7, 24], [25, 1, 26, 28], [27, 21, 28, 20], [1, 8, 2, 9], [4, 13, 5, 14], [6, 23, 7, 24], [7, 17, 8, 16]]"
very_complicated_unknot_12,"[[13, 4, 14, 5], [16, 25, 17, 26], [18, 4, 19, 3], [19, 13, 20, 10], [20, 28, 21, 27], [22, 15, 23, 16], [23, 6, 24, 7], [7, 24, 8, 25], [26, 2, 27, 1], [28, 22, 1, 21], [2, 9, 3, 10], [5, 14, 6, 15], [7, 24, 8, 25], [8, 18, 9, 17]]"
very_complicated_unknot_13,"[[14, 5, 15, 6], [17, 26, 18, 27], [19, 5, 20, 4], [20, 14, 21, 11], [21, 1, 22, 28], [23, 16, 24, 17], [24, 7, 25, 8], [8, 25, 9, 26], [27, 3, 28, 2], [1, 23, 2, 22], [3, 10, 4, 11], [6, 15, 7, 16], [8, 25, 9, 26], [9, 19, 10, 18]]"
very_complicated_unknot_14,"[[15, 6, 16, 7], [18, 27, 19, 28], [20, 6, 21, 5], [21, 15, 22, 12], [22, 2, 23, 1], [24, 17, 25, 18], [25, 8, 26, 9], [9, 26, 10, 27], [28, 4, 1, 3], [2, 24, 3, 23], [4, 11, 5, 12], [7, 16, 8, 17], [9, 26, 10, 27], [10, 20, 11, 19]]"
