name,pd_notation
very_complicated_unknot_0,"[[25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14]]"
very_complicated_unknot_1,"[[24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4]]"
very_complicated_unknot_2,"[[22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27]]"
very_complicated_unknot_3,"[[19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10]]"
very_complicated_unknot_4,"[[17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18]]"
very_complicated_unknot_5,"[[15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14]]"
very_complicated_unknot_6,"[[24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24]]"
very_complicated_unknot_7,"[[12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16], [11, 4, 12, 5]]"
very_complicated_unknot_8,"[[11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27], [9, 17, 10, 16]]"
very_complicated_unknot_9,"[[9, 17, 10, 16], [11, 4, 12, 5], [12, 23, 13, 24], [24, 13, 25, 14], [15, 19, 16, 18], [17, 11, 18, 10], [19, 26, 20, 27], [22, 3, 23, 4], [24, 13, 25, 14], [25, 7, 26, 6], [2, 21, 3, 22], [5, 14, 6, 15], [7, 21, 8, 20], [8, 2, 9, 27]]"
